0.00, 0.00, 0.00
0.10, 3.98, 0.30
0.20, 7.97, 0.50
0.30, 11.95, 0.60
0.40, 15.94, 0.61
0.50, 19.92, 0.52
0.60, 23.91, 0.33
0.70, 27.89, 0.04
0.80, 31.88, -0.35
